iter	RMSE
0	147411.055
1	112699.7136
2	88948.30552
3	69610.07548
4	57785.74715
5	47258.19684
6	39972.72835
7	35370.25099
8	31661.24928
9	28924.14697
10	27085.93609
11	25618.19307
12	24355.56333
13	23205.54743
14	22752.16369
15	21705.68467
16	20874.57762
17	20028.81915
18	19360.47367
19	18717.42846
20	18131.22288
21	17769.63402
22	17154.72777
23	16809.84369
24	16294.1611
25	15671.76716
26	15217.41977
27	14848.37592
28	14437.60628
29	13991.29593
30	13417.7917
31	12982.168
32	12544.59579
33	12188.12306
34	11951.23155
35	11713.11725
36	11370.57517
37	10910.73827
38	10562.61099
39	10269.26207
40	9949.110463
41	9587.043473
42	9342.050453
43	9185.50191
44	8984.505768
45	8814.750518
46	8660.852052
47	8579.855209
48	8436.997607
49	8232.714678
50	8082.221137
51	7945.568866
52	7796.814029
53	7732.418705
54	7652.927215
55	7626.038778
56	7494.954525
57	7462.858782
58	7443.787265
59	7424.317039
60	7380.518312
61	7226.351074
62	7069.127335
63	7017.221249
64	6867.579369
65	6791.096691
66	6708.6613
67	6593.219178
68	6459.624563
69	6295.970707
70	6153.431861
71	6069.108668
72	6032.989334
73	5993.208868
74	5867.398823
75	5755.064544
76	5745.005686
77	5739.443939
78	5731.167452
79	5718.458668
80	5624.427036
81	5556.247115
82	5478.883729
83	5416.111434
84	5328.053892
85	5185.201246
86	5155.372215
87	5070.372405
88	4994.960618
89	4922.744408
90	4879.369207
91	4810.301187
92	4744.097683
93	4694.191772
94	4609.167208
95	4554.048472
96	4507.852194
97	4455.137874
98	4376.75375
99	4333.067363
