iter	RMSE
0	143433.8752
1	108869.305
2	84613.8516
3	66150.67206
4	54219.52283
5	44989.21577
6	37920.82565
7	33431.15138
8	29938.23002
9	27782.30018
10	26245.55403
11	25080.06254
12	23955.77221
13	22857.35049
14	22061.71444
15	21039.70866
16	20192.26321
17	19814.21899
18	19084.22786
19	18612.94635
20	17962.99316
21	17388.57997
22	16804.3195
23	16350.64481
24	16067.486
25	15622.19076
26	15296.6216
27	15121.3086
28	14843.36243
29	14443.35045
30	14225.62948
31	14001.64311
32	13551.10809
33	13182.22304
34	12927.93434
35	12638.80656
36	12343.10104
37	11902.41037
38	11646.05436
39	11378.04171
40	11059.67412
41	10925.868
42	10640.57211
43	10414.10809
44	10190.35363
45	10016.64252
46	9815.633435
47	9724.568261
48	9424.805199
49	9159.44703
50	8847.908135
51	8642.295767
52	8397.118544
53	8221.168763
54	8117.788927
55	7923.282561
56	7795.514723
57	7723.317355
58	7671.808933
59	7580.969177
60	7489.074883
61	7314.615834
62	7229.149928
63	7033.552885
64	6922.292532
65	6815.507149
66	6798.141178
67	6736.580092
68	6650.956128
69	6549.190585
70	6454.129144
71	6370.297965
72	6248.392072
73	6098.722721
74	6026.946621
75	5887.639307
76	5769.075996
77	5758.711548
78	5657.844823
79	5647.305539
80	5608.960784
81	5585.729081
82	5577.028648
83	5429.213397
84	5328.546465
85	5313.844839
86	5219.263313
87	5057.065526
88	5007.040866
89	4895.611405
90	4765.766743
91	4753.146411
92	4600.388892
93	4498.7591
94	4428.678182
95	4309.180884
96	4280.49677
97	4242.622963
98	4163.128857
99	4159.227268
