iter	RMSE
0	147410.6688
1	111388.4999
2	86124.76488
3	67025.84739
4	55828.80969
5	46455.53301
6	38936.07151
7	34379.35601
8	30894.96923
9	28303.848
10	26448.59499
11	24731.84522
12	23317.70871
13	22289.42839
14	21525.74
15	20744.57266
16	19964.51035
17	19319.13095
18	18826.20392
19	18348.21654
20	17801.93506
21	17441.13173
22	17112.73397
23	16565.37043
24	16012.22637
25	15686.54672
26	15236.7085
27	14853.71929
28	14490.04232
29	14040.42514
30	13493.15949
31	13065.9025
32	12751.95688
33	12454.3002
34	12013.81808
35	11604.97829
36	11245.77965
37	11007.40309
38	10663.78668
39	10434.75946
40	10170.03814
41	10074.65004
42	10031.71833
43	9765.924245
44	9520.049952
45	9354.806513
46	9139.503653
47	8960.183301
48	8815.161339
49	8793.425731
50	8641.916907
51	8547.550777
52	8419.866051
53	8285.773456
54	8212.269338
55	8198.870243
56	8059.014915
57	7868.338178
58	7787.786532
59	7622.733773
60	7453.00827
61	7347.461775
62	7188.974608
63	7169.058163
64	6945.536225
65	6731.801664
66	6718.727282
67	6625.624805
68	6501.116407
69	6430.147018
70	6285.574686
71	6165.881861
72	6069.822452
73	5953.5628
74	5864.354696
75	5777.042982
76	5736.926058
77	5650.952895
78	5615.378964
79	5522.792291
80	5443.31598
81	5420.077147
82	5329.737331
83	5235.789736
84	5229.426975
85	5118.252029
86	4996.836317
87	4935.50143
88	4851.391149
89	4768.008882
90	4669.23175
91	4526.201027
92	4476.264714
93	4381.298506
94	4328.066574
95	4216.210631
96	4165.744487
97	4123.162307
98	4058.128869
99	3989.919421
