iter	RMSE
0	147496.2306
1	113879.4722
2	87883.32641
3	69048.80387
4	55552.02419
5	45890.78416
6	39767.10408
7	35190.95993
8	31617.96374
9	29070.24052
10	27264.72018
11	25711.04048
12	24522.77241
13	23654.95457
14	22758.01983
15	21837.97467
16	21160.0705
17	20580.20758
18	19972.30282
19	19464.6801
20	19051.99619
21	18513.47586
22	18322.12853
23	17938.78716
24	17316.30358
25	16941.46178
26	16449.34261
27	15770.03175
28	15343.07095
29	14966.16316
30	14678.11793
31	14517.45207
32	14265.53566
33	13698.40164
34	13223.06372
35	12942.90322
36	12576.4696
37	12278.57802
38	12186.95264
39	11688.4496
40	11218.11329
41	10994.82029
42	10692.97041
43	10411.42958
44	10222.92364
45	9993.600285
46	9808.500151
47	9677.704749
48	9526.555043
49	9478.001427
50	9377.816416
51	9320.303853
52	9092.33148
53	8949.297915
54	8818.450605
55	8670.503031
56	8569.068228
57	8415.354881
58	8365.421278
59	8204.885766
60	8154.031435
61	8015.593895
62	7875.892511
63	7687.317291
64	7527.20975
65	7371.230099
66	7291.545187
67	7066.321288
68	7055.133547
69	6890.83137
70	6714.145568
71	6703.611902
72	6609.670182
73	6602.479094
74	6462.335884
75	6424.776459
76	6297.166077
77	6168.292553
78	5977.584377
79	5970.732882
80	5830.541036
81	5788.467015
82	5687.630819
83	5684.606988
84	5597.694989
85	5506.011252
86	5398.801352
87	5289.735273
88	5287.10261
89	5179.655528
90	5172.023578
91	5100.722627
92	5029.876518
93	4941.61151
94	4851.113665
95	4747.354789
96	4719.624663
97	4653.397677
98	4613.2691
99	4554.371145
